"","population_group_name","measure_name","location_name","sex_name","age_name","cause_name","metric_name","year","val","upper","lower"
"1","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2014,9.892612134,12.63567505,6.736317666
"2","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2014,7.476729097,9.293009601,5.857157581
"3","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2014,0.326301934,0.421514339,0.24570168
"4","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2014,0.276221208,0.364207404,0.197139809
"5","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2014,48.10982186,61.22218753,31.77540685
"6","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2014,45.96012138,54.21320112,35.87867438
"7","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2014,3.029755662,3.684248339,2.26695816
"8","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2014,2.025589207,2.513910697,1.646872552
"9","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2013,10.15989739,12.92157652,6.957347749
"10","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2013,7.801728108,9.595481807,6.047343576
"11","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2013,0.349413671,0.441721759,0.253657366
"12","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2013,0.292196358,0.382292408,0.207093094
"13","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2013,49.1885305,61.95251796,31.89121671
"14","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2013,46.62942927,56.46042973,35.93467791
"15","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2013,3.078147608,3.691567598,2.355393308
"16","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2013,2.079549306,2.541118629,1.686229548
"17","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2014,25.71666409,30.97261776,21.53279665
"18","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2014,18.92812975,22.54401683,16.08902742
"19","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2014,1.250890648,1.786045322,0.902102236
"20","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2014,1.013729266,1.467811852,0.721433674
"21","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2014,102.1974063,117.2651931,88.62168445
"22","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2014,88.39342559,100.9801939,75.79863658
"23","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2014,6.36168917,7.773326457,5.26459979
"24","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2014,4.816964502,6.000840377,3.959179597
"25","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2013,25.62516681,31.0864182,21.34301102
"26","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2013,18.67700956,22.42096424,15.68575664
"27","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2013,1.245424694,1.763581424,0.8946315
"28","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2013,1.00844229,1.458991255,0.707262075
"29","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2013,103.184023,119.089782,88.64497881
"30","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2013,88.74233105,101.5346341,75.43125026
"31","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2013,6.380176644,7.812052808,5.296374835
"32","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2013,4.739291109,5.823143137,3.902725776
"33","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2015,26.20949966,31.75117949,22.1049455
"34","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2015,19.49591567,23.62651459,16.61056935
"35","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2015,1.253811016,1.772823642,0.907324403
"36","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2015,1.018528362,1.483798334,0.715892346
"37","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2015,103.5702658,118.0215981,90.73526969
"38","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2015,90.30857395,103.1648571,77.28843417
"39","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2015,6.411140107,7.845954638,5.326127918
"40","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2015,4.925013636,6.110432646,4.078891012
"41","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2016,26.6594242,32.32112783,22.4896455
"42","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2016,19.85925746,24.21139177,17.07434507
"43","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2016,1.264125437,1.752923601,0.913244397
"44","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2016,1.025809302,1.47000945,0.730664737
"45","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2016,103.8954008,118.7138928,90.90116744
"46","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2016,90.31631966,103.4001111,77.64171053
"47","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2016,6.501986458,7.863163813,5.426668369
"48","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2016,5.010100853,6.133411076,4.142840972
"49","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2015,9.978700483,12.21155873,6.788238654
"50","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2015,7.394254162,8.96140247,5.839445378
"51","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2015,0.310519002,0.4056162,0.233774263
"52","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2015,0.269577728,0.358518325,0.189004573
"53","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2015,48.32954028,61.68781991,32.81041101
"54","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2015,46.15981305,53.89707703,36.08780848
"55","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2015,3.069187256,3.668329774,2.305548402
"56","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2015,2.023271094,2.550314375,1.641609208
"57","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2016,10.4000145,12.72746065,6.98690022
"58","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2016,7.479239736,9.06010421,5.998272835
"59","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2016,0.293893145,0.387905207,0.218508346
"60","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2016,0.261084626,0.349367778,0.190094443
"61","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2016,49.80739905,61.68153945,34.46991435
"62","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2016,47.3093188,54.75902947,37.82997241
"63","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2016,3.140493596,3.807079264,2.347207559
"64","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2016,2.031749085,2.618014038,1.680759669
"65","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2017,10.53582254,12.87713836,7.182964455
"66","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2017,7.401180354,9.26360515,5.865970722
"67","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2017,0.271798349,0.363219281,0.1977877
"68","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2017,0.246854958,0.341046714,0.181057299
"69","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2017,49.42414999,59.82847359,34.86322666
"70","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2017,46.72796061,53.9397463,37.61769733
"71","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2017,3.108293384,3.73922217,2.371440722
"72","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2017,1.990388819,2.620424426,1.671589714
"73","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2017,26.65719945,32.25364655,22.66278894
"74","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2017,19.84565651,24.22536025,17.03997293
"75","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2017,1.274009262,1.758773467,0.903362035
"76","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2017,1.033574452,1.499030059,0.735381168
"77","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2017,104.4290709,118.3930958,91.60364364
"78","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2017,90.99659878,104.3269036,78.60291766
"79","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2017,6.533223519,7.797838816,5.473629721
